File_Block,Excitation_Energy_eV,PE_eV,Dwell_Time_s,Scans
SE0523_001,200.00,5.00,0.1000,4
SE0523_002,200.00,5.00,0.0500,1
SE0523_003,200.00,5.00,0.0500,1
SE0523_004,200.00,5.00,0.0500,1
SE0523_005,400.00,10.00,0.1000,1
SE0523_006,400.00,10.00,0.1000,3
SE0523_007,400.00,10.00,0.0500,1
SE0523_008,400.00,10.00,0.1000,1
SE0523_009,400.00,10.00,0.1000,1
SE0523_010,400.00,10.00,0.1000,1
SE0523_011,400.00,10.00,0.1000,2
SE0523_012,650.00,10.00,0.1000,1
SE0523_013,650.00,10.00,0.0500,1
SE0523_014,200.00,2.00,0.1000,1
SE0523_015,200.00,2.00,0.1000,3
SE0523_016,200.00,2.00,0.1000,3
SE0523_017,200.00,2.00,0.1000,5
SE0523_018,200.00,2.00,0.0500,1
SE0523_019,200.00,2.00,0.1000,3
SE0523_020,650.00,5.00,0.1000,1
SE0523_021,650.00,5.00,0.1000,1
SE0523_022,650.00,5.00,0.1000,1
SE0523_023,650.00,5.00,0.1000,1
SE0523_024,650.00,10.00,0.1000,1
SE0523_025,660.00,10.00,0.1000,1
SE0523_026,660.00,10.00,0.1000,1
SE0523_027,660.00,10.00,0.1000,1
SE0523_028,400.00,10.00,0.1000,1
SE0523_029,400.00,10.00,0.1000,2
SE0523_030,260.00,10.00,0.1000,3
SE0523_031,260.00,10.00,0.0500,1
SE0523_032,650.00,10.00,0.0500,1
SE0523_033,260.00,10.00,0.0500,1
SE0523_034,200.00,2.00,0.1000,3
SE0523_035,200.00,2.00,0.1000,5
SE0523_036,130.00,2.00,0.1000,2
SE0523_037,130.00,2.00,0.1000,1
SE0523_038,130.00,2.00,0.1000,1
SE0523_039,130.00,2.00,0.1000,3
SE0523_040,400.00,2.00,0.0500,1
SE0523_041,400.00,2.00,0.1000,3
SE0523_042,400.00,2.00,0.1000,5
SE0523_043,200.00,2.00,0.1000,1
SE0523_044,200.00,2.00,0.1000,3
SE0523_045,200.00,2.00,0.1000,5
LEED0523_046,,,,
LEED0523_047,,,,
LEED0523_048,,,,
LEED0523_049,,,,
LEED0523_050,,,,
LEED0523_051,,,,
LEED0523_052,,,,
LEED0523_053,,,,
LEED0523_054,,,,
LEED0523_055,,,,
LEED0523_056,,,,
SE0523_057,400.00,5.00,0.0500,1
SE0523_058,200.00,2.00,0.1000,2
SE0523_059,260.00,10.00,0.1000,3
SE0523_060,260.00,10.00,0.0500,1
SE0523_061,650.00,10.00,0.0500,1
SE0523_062,200.00,5.00,0.0500,1
SE0523_063,200.00,2.00,0.1000,3
SE0523_064,400.00,5.00,0.0500,1
SE0523_065,400.00,5.00,0.1000,10
SE0523_066,400.00,5.00,0.1000,1
SE0523_067,400.00,5.00,0.1000,5
SE0523_068,400.00,5.00,0.0500,1
SE0523_069,400.00,5.00,0.1000,10
SE0523_070,400.00,5.00,0.1000,5
SE0523_071,400.00,5.00,0.1000,1
SE0523_072,200.00,2.00,0.1000,3
SE0523_073,200.00,2.00,0.1000,5
SE0523_074,260.00,10.00,0.1000,3
SE0523_075,260.00,10.00,0.1000,10
SE0523_076,400.00,5.00,0.0500,1
SE0523_077,400.00,5.00,0.1000,10
SE0523_078,400.00,5.00,0.1000,5
SE0523_079,200.00,2.00,0.1000,3
SE0523_080,200.00,2.00,0.1000,1
SE0523_081,200.00,2.00,0.1000,5
SE0523_082,260.00,10.00,0.1000,3
SE0523_083,400.00,5.00,0.0500,1
SE0523_084,260.00,10.00,0.0500,1
SE0523_085,400.00,5.00,0.0500,1
SE0523_086,200.00,2.00,0.1000,2
SE0523_087,650.00,10.00,0.0500,1
SE0523_088,200.00,2.00,0.1000,1
SE0523_089,650.00,10.00,0.0500,1
SE0523_090,260.00,10.00,0.0500,1
SE0523_091,400.00,5.00,0.1000,3
SE0523_092,400.00,5.00,0.1000,3
SE0523_093,260.00,10.00,0.1000,2
SE0523_094,400.00,5.00,0.1000,5
SE0523_095,400.00,5.00,0.1000,3
SE0523_096,400.00,5.00,0.0500,1
SE0523_097,650.00,10.00,0.0500,1
SE0523_098,400.00,5.00,0.1000,5
SE0523_099,400.00,5.00,0.1000,3
SE0523_100,400.00,5.00,0.0500,1
SE0523_101,650.00,10.00,0.0500,1
SE0523_102,400.00,5.00,0.1000,5
SE0523_103,400.00,5.00,0.1000,5
SE0523_104,400.00,5.00,0.0500,1
SE0523_105,650.00,10.00,0.0500,1
SE0523_106,400.00,5.00,0.1000,5
SE0523_107,400.00,5.00,0.1000,3
SE0523_108,400.00,5.00,0.0500,1
SE0523_109,650.00,10.00,0.0500,1
SE0523_110,400.00,5.00,0.1000,5
SE0523_111,400.00,5.00,0.1000,3
SE0523_112,400.00,5.00,0.0500,1
SE0523_113,650.00,10.00,0.0500,1
SE0523_114,260.00,10.00,0.1000,1
SE0523_115,260.00,10.00,0.0500,1
SE0523_116,650.00,10.00,0.0500,1
SE0523_117,260.00,10.00,0.0500,1
SE0523_118,400.00,5.00,0.1000,5
SE0523_119,400.00,5.00,0.1000,3
SE0523_120,400.00,5.00,0.0500,1
SE0524_001,650.00,10.00,0.0500,1
SE0524_002,400.00,5.00,0.1000,5
SE0524_003,400.00,5.00,0.1000,3
SE0524_004,400.00,5.00,0.0500,1
SE0524_005,400.00,5.00,0.0500,1
SE0524_006,400.00,5.00,0.0500,1
SE0524_007,400.00,5.00,0.0500,1
SE0524_008,200.00,2.00,0.1000,2
SE0524_009,200.00,2.00,0.1000,1
SE0524_010,650.00,10.00,0.0500,1
SE0524_011,260.00,10.00,0.0500,1
SE0524_012,400.00,5.00,0.1000,10
SE0524_013,400.00,5.00,0.0500,1
SE0524_014,400.00,5.00,0.0500,1
SE0524_015,400.00,5.00,0.1000,3
SE0524_016,400.00,5.00,0.1000,1
SE0524_017,400.00,5.00,0.1000,1
SE0524_018,200.00,2.00,0.1000,1
SE0524_019,400.00,5.00,0.1000,1
SE0524_020,400.00,5.00,0.1000,1
SE0524_021,400.00,5.00,0.1000,1
SE0524_022,400.00,5.00,0.1000,1
SE0524_023,400.00,5.00,0.1000,2
SE0524_024,400.00,4.00,0.1000,5
SE0524_025,400.00,4.00,0.1000,5
SE0524_026,200.00,2.00,0.1000,3
SE0524_027,200.00,2.00,0.1000,5
SE0524_028,200.00,2.00,0.1000,1
SE0524_029,400.00,5.00,0.0500,1
SE0524_030,200.00,2.00,0.1000,1
SE0524_031,650.00,10.00,0.0500,1
SE0524_032,200.00,2.00,0.1000,3
SE0524_033,200.00,2.00,0.1000,5
SE0524_034,400.00,5.00,0.0500,1
SE0524_035,400.00,5.00,0.0500,1
SE0524_036,400.00,5.00,0.1000,10
SE0524_037,400.00,5.00,0.1000,3
SE0524_038,400.00,4.00,0.1000,5
SE0524_039,400.00,4.00,0.1000,3
SE0524_040,400.00,5.00,0.0500,1
SE0524_041,400.00,5.00,0.1000,10
SE0524_042,400.00,5.00,0.1000,3
SE0524_043,400.00,5.00,0.0500,1
SE0524_044,400.00,5.00,0.0500,1
SE0524_045,260.00,10.00,0.0500,1
SE0524_046,260.00,10.00,0.0500,1
SE0524_047,650.00,10.00,0.0500,1
SE0524_048,200.00,2.00,0.1000,1
SE0524_049,400.00,5.00,0.1000,5
SE0524_050,400.00,5.00,0.1000,3
SE0524_051,400.00,4.00,0.1000,3
SE0524_052,400.00,4.00,0.1000,5
SE0524_053,400.00,5.00,0.0500,1
SE0524_054,650.00,10.00,0.0500,1
SE0524_055,650.00,10.00,0.0500,1
SE0524_056,400.00,5.00,0.0500,1
SE0524_057,400.00,5.00,0.0500,1
SE0524_058,400.00,5.00,0.0500,1
SE0524_059,650.00,10.00,0.0500,1
SE0524_060,650.00,10.00,0.0500,1
SE0524_061,400.00,5.00,0.1000,5
SE0524_062,400.00,5.00,0.1000,3
SE0524_063,400.00,5.00,0.0500,1
SE0524_064,650.00,10.00,0.0500,1
SE0524_065,260.00,10.00,0.0500,1
SE0524_066,400.00,5.00,0.1000,5
SE0524_067,400.00,5.00,0.1000,3
SE0524_068,400.00,5.00,0.0500,1
SE0524_069,650.00,10.00,0.0500,1
SE0524_070,400.00,5.00,0.1000,5
SE0524_071,400.00,5.00,0.1000,3
SE0524_072,400.00,5.00,0.0500,1
SE0524_073,650.00,10.00,0.0500,1
SE0524_074,400.00,5.00,0.1000,5
SE0524_075,400.00,5.00,0.1000,3
SE0524_076,400.00,5.00,0.0500,1
SE0524_077,650.00,10.00,0.0500,1
SE0524_078,400.00,5.00,0.1000,5
SE0524_079,400.00,5.00,0.1000,3
SE0524_080,400.00,5.00,0.0500,1
SE0524_081,650.00,10.00,0.0500,1
SE0524_082,260.00,10.00,0.0500,1
SE0525_001,400.00,5.00,0.1000,5
SE0525_002,400.00,5.00,0.1000,3
SE0525_003,400.00,5.00,0.0500,1
SE0525_004,650.00,10.00,0.0500,1
SE0525_005,400.00,5.00,0.1000,5
SE0525_006,400.00,5.00,0.1000,3
SE0525_007,400.00,5.00,0.0500,1
SE0525_008,650.00,10.00,0.0500,1
SE0525_009,400.00,5.00,0.1000,5
SE0525_010,400.00,5.00,0.1000,3
SE0525_011,400.00,5.00,0.0500,1
SE0525_012,650.00,10.00,0.0500,1
SE0525_013,400.00,5.00,0.1000,6
SE0525_014,400.00,5.00,0.1000,2
SE0525_015,400.00,5.00,0.0500,1
